X,Y,OBJECTID,DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
4882329.25687689,4236052.04132231,5428,3,5,,COL,R,17.975,,"WILLIAMS, E STREET",2600,28500,26000,2550,28000,25000
4880938.48931722,4239777.78223039,5429,3,5,,COL,R,18.722,,JCT. RTE. 20,2550,28000,25000,2200,24900,23500
4880855.34381422,4239729.80562031,5430,3,5,,COL,R,18.722,,JCT. RTE. 20,2550,28000,25000,2200,24900,23500
4873980.2063178,4280359.65480664,5431,3,5,,COL,R,26.729,,MAXWELL/COLUSA ROADS,2200,24900,23500,2200,25500,22600
4873884.74850348,4280364.78176489,5432,3,5,,COL,R,26.729,,MAXWELL/COLUSA ROADS,2200,24900,23500,2200,25500,22600
4872211.96510364,4293493.4185653,5433,3,5,,COL,R,29.248,,NORTH MAXWELL OVERHEAD,2200,25500,22600,2200,23700,22600
4872143.84384881,4293415.06964064,5434,3,5,,COL,R,29.248,,NORTH MAXWELL OVERHEAD,2200,25500,22600,2200,23700,22600
4871950.30552197,4307094.45927656,5435,3,5,,COL,R,31.839,,DELEVAN ROAD,2200,23700,22600,2200,23700,22600
4871854.35262989,4307100.26864815,5436,3,5,,COL,R,31.839,,DELEVAN ROAD,2200,23700,22600,2200,23700,22600
4873249.03980114,4320389.20663714,5437,3,5,,COL,R,34.365,,COLUSA/GLENN COUNTY LINE,2200,23700,22600,,,
4873153.03080681,4320387.66792631,5438,3,5,,COL,R,34.365,,COLUSA/GLENN COUNTY LINE,2200,23700,22600,,,
4904741.46959831,4182156.05856331,5439,3,5,,COL,R,6.793,,HILLGATE ROAD  (MILEPOST EQUATION),3100,38000,34000,3100,34000,31500
4904696.7354358,4182132.94148356,5440,3,5,,COL,R,6.793,,HILLGATE ROAD  (MILEPOST EQUATION),3100,38000,34000,3100,34000,31500
4902884.06156772,4186285.88757397,5441,3,5,,COL,R,7.7,,NORTH ARBUCKLE,3100,34000,31500,3100,35000,32500
4902790.44331664,4186261.71373782,5442,3,5,,COL,R,7.7,,NORTH ARBUCKLE,3100,34000,31500,3100,35000,32500
4873249.03980114,4320389.20663714,5443,3,5,,GLE,R,0,,COLUSA/GLENN COUNTY LINE,,,,2500,26000,20400
4873153.03080681,4320387.66792631,5444,3,5,,GLE,R,0,,COLUSA/GLENN COUNTY LINE,,,,2500,26000,20400
4872922.69301289,4328416.78835098,5445,3,5,,GLE,R,1.517,,COUNTY ROAD 68,2500,26000,20400,2450,25500,20000
4872828.04753289,4328420.78112514,5446,3,5,,GLE,R,1.517,,COUNTY ROAD 68,2500,26000,20400,2450,25500,20000
4870290.61855264,4376888.19961005,5447,3,5,,GLE,R,10.877,,"COUNTY ROAD 48;N/O JCT RTE 162",2900,33000,29500,3000,28000,27000
4870206.70828739,4376897.27209848,5448,3,5,,GLE,R,10.877,,"COUNTY ROAD 48;N/O JCT RTE 162",2900,33000,29500,3000,28000,27000
4872435.37738647,4392747.58915105,5449,3,5,,GLE,R,13.895,,COUNTY ROAD 39,2900,28000,27000,2900,31000,27000
4872352.18004631,4392756.19969815,5450,3,5,,GLE,R,13.895,,COUNTY ROAD 39,2900,28000,27000,2900,31000,27000
4874789.60496147,4408006.1170329,5451,3,5,,GLE,R,16.803,,COUNTY ROAD 33,2600,31000,27000,2600,30500,27500
4874705.65073305,4408014.05074406,5452,3,5,,GLE,R,16.803,,COUNTY ROAD 33,2600,31000,27000,2600,30500,27500
4876156.72788338,4429296.5488614,5453,3,5,,GLE,R,20.822,,COUNTY ROAD 27,2600,30500,27500,2300,28000,26500
4876074.95934613,4429303.69156365,5454,3,5,,GLE,R,20.822,,COUNTY ROAD 27,2600,30500,27500,2300,28000,26500
4877085.20535713,4450501.20395856,5455,3,5,,GLE,R,24.817,,COUNTY ROAD 16,1950,33000,27000,2050,36000,28000
4877003.50670163,4450502.2800719,5456,3,5,,GLE,R,24.817,,COUNTY ROAD 16,1950,33000,27000,2050,36000,28000
4877346.92038488,4454254.14264689,5457,3,5,,GLE,R,25.529,,JCT. RTE. 32 EAST,2300,34000,25000,2450,30000,27500
4877267.9950178,4454302.94569889,5458,3,5,,GLE,R,25.529,,JCT. RTE. 32 EAST,2300,34000,25000,2450,30000,27500
4878360.21166539,4466358.47506547,5459,3,5,,GLE,R,27.812,,COUNTY ROAD 7,2450,30000,27500,2900,32000,27000
4878279.24496381,4466359.38451248,5460,3,5,,GLE,R,27.812,,COUNTY ROAD 7,2450,30000,27500,2900,32000,27000
4879658.52468555,4471558.41512489,5461,3,5,,GLE,R,28.821,,GLENN/TEHAMA COUNTY LINE,2900,32500,28000,,,
4879569.98975764,4471561.36721873,5462,3,5,,GLE,R,28.821,,GLENN/TEHAMA COUNTY LINE,2900,32500,28000,,,
4874421.39539605,4360568.33231547,5463,3,5,,GLE,R,7.607,,COUNTY ROAD 57,2400,26000,20000,2400,26000,18800
4874332.71283063,4360564.1351454,5464,3,5,,GLE,R,7.607,,COUNTY ROAD 57,2400,26000,20000,2400,26000,18800
4869996.34683147,4371558.12988964,5465,3,5,,GLE,R,9.872,,"WILLOWS, JCT. RTE. 162",2700,33000,22200,2950,33000,29500
4869909.53171639,4371557.48848672,5466,3,5,,GLE,R,9.872,,"WILLOWS, JCT. RTE. 162",2700,33000,22200,2950,33000,29500
5064156.77379856,3895961.53580914,5467,3,5,,SAC,,0.018,,SAN JOAQUIN/SACRAMENTO COUNTY LINE,,,,4400,70000,65000
5064054.21035539,3895918.84232497,5468,3,5,,SAC,,0.018,,SAN JOAQUIN/SACRAMENTO COUNTY LINE,,,,4400,70000,65000
5056655.56307922,3952675.62284006,5469,3,5,,SAC,,10.826,,ELK GROVE BOULEVARD,6000,70000,66000,7300,78000,73000
5056546.98652472,3952673.80263373,5470,3,5,,SAC,,10.826,,ELK GROVE BOULEVARD,6000,70000,66000,7300,78000,73000
5055934.79549189,3959038.45197789,5471,3,5,,SAC,,12.037,,LAGUNA BOULEVARD,7300,78000,73000,7500,112000,99000
5055835.15100613,3959074.90269239,5472,3,5,,SAC,,12.037,,LAGUNA BOULEVARD,7300,78000,73000,7500,112000,99000
5050277.31730555,3979520.93594722,5473,3,5,,SAC,,16.147,,"SACRAMENTO, POCKET/MEADOWVIEW ROADS",7900,113000,102000,8300,115000,103000
5050179.8480123,3979519.90346898,5474,3,5,,SAC,,16.147,,"SACRAMENTO, POCKET/MEADOWVIEW ROADS",7900,113000,102000,8300,115000,103000
5048826.2129243,3984829.02867748,5475,3,5,,SAC,,17.185,,"SACRAMENTO, FLORIN ROAD",8300,115000,103000,8700,122000,110000
5048752.01917505,3984828.49718247,5476,3,5,,SAC,,17.185,,"SACRAMENTO, FLORIN ROAD",8300,115000,103000,8700,122000,110000
5047631.4909043,3992370.82658598,5477,3,5,,SAC,,18.651,,"SACRAMENTO, 43RD AVENUE",8700,122000,110000,10100,154000,136000
5047557.00680131,3992376.95649497,5478,3,5,,SAC,,18.651,,"SACRAMENTO, 43RD AVENUE",8700,122000,110000,10100,154000,136000
5047984.99610281,3995794.94605006,5479,3,5,,SAC,,19.304,,"SACRAMENTO, SEAMAS AVENUE",10200,154000,136000,10400,180000,156000
5047915.46737047,3995818.86660589,5480,3,5,,SAC,,19.304,,"SACRAMENTO, SEAMAS AVENUE",10200,154000,136000,10400,180000,156000
5061811.98321256,3906875.5444929,5481,3,5,,SAC,,2.13,,TWIN CITIES ROAD,4400,70000,65000,4400,71000,66000
5061702.11335355,3906866.9933289,5482,3,5,,SAC,,2.13,,TWIN CITIES ROAD,4400,70000,65000,4400,71000,66000
5051295.4048363,4001228.16746706,5483,3,5,,SAC,,20.534,,"SACRAMENTO, SUTTERVILLE ROAD",10400,180000,156000,10500,167000,163000
5051234.02995905,4001256.00008856,5484,3,5,,SAC,,20.534,,"SACRAMENTO, SUTTERVILLE ROAD",10400,180000,156000,10500,167000,163000
5051805.57704431,4011345.72695631,5485,3,5,,SAC,,22.565,,"SACRAMENTO, JCT. RTE. 50",10500,167000,163000,12700,206000,188000
5051731.79503964,4011370.63963614,5486,3,5,,SAC,,22.565,,"SACRAMENTO, JCT. RTE. 50",10500,167000,163000,12700,206000,188000
5052821.12488197,4014364.79047197,5487,3,5,,SAC,,23.177,,"SACRAMENTO, P/Q STREETS",12700,206000,188000,13700,195000,169000
5052754.03184031,4014384.39410731,5488,3,5,,SAC,,23.177,,"SACRAMENTO, P/Q STREETS",12700,206000,188000,13700,195000,169000
5054394.62173498,4017206.57711123,5489,3,5,,SAC,,23.799,,"SACRAMENTO, I STREET",13700,195000,169000,14200,194000,185000
5054320.63533439,4017219.81428948,5490,3,5,,SAC,,23.799,,"SACRAMENTO, I STREET",13700,195000,169000,14200,194000,185000
5054317.51854272,4021636.9622793,5491,3,5,,SAC,,24.645,,"SACRAMENTO, RICHARDS BOULEVARD",14200,194000,185000,16000,207000,197000
5054231.5190428,4021625.52890323,5492,3,5,,SAC,,24.645,,"SACRAMENTO, RICHARDS BOULEVARD",14200,194000,185000,16000,207000,197000
5053315.90965356,4025213.95250064,5493,3,5,,SAC,,25.34,,"SACRAMENTO, GARDEN HIGHWAY",16000,207000,197000,15100,199000,192000
5053256.40911639,4025173.64811932,5494,3,5,,SAC,,25.34,,"SACRAMENTO, GARDEN HIGHWAY",16000,207000,197000,15100,199000,192000
5052238.77729338,4028327.18905631,5495,3,5,,SAC,,25.972,,"SACRAMENTO, WEST EL CAMINO AVENUE",15100,199000,192000,14700,209000,170000
5052154.65344588,4028316.78684615,5496,3,5,,SAC,,25.972,,"SACRAMENTO, WEST EL CAMINO AVENUE",15100,199000,192000,14700,209000,170000
5051039.66026905,4032136.26477148,5497,3,5,,SAC,,26.722,,"SACRAMENTO, JCT. RTE. 80",14700,209000,170000,14200,205000,176000
5050970.39269106,4032110.51974423,5498,3,5,,SAC,,26.722,,"SACRAMENTO, JCT. RTE. 80",14700,209000,170000,14200,205000,176000
5047040.62069497,4043633.80444039,5499,3,5,,SAC,,29.022,,"SACRAMENTO, DEL PASO ROAD",11300,168000,158000,10500,156000,149000
5046946.75834988,4043608.54497647,5500,3,5,,SAC,,29.022,,"SACRAMENTO, DEL PASO ROAD",11300,168000,158000,10500,156000,149000
5045204.53512831,4048008.53027098,5501,3,5,,SAC,,29.907,,"SACRAMENTO, JCT. RTE. 99 NORTH",10500,156000,149000,10000,136000,132000
5045199.99511114,4047862.50103548,5502,3,5,,SAC,,29.907,,"SACRAMENTO, JCT. RTE. 99 NORTH",10500,156000,149000,10000,136000,132000
5030689.66816072,4050146.31733398,5503,3,5,,SAC,,32.734,,"SACRAMENTO, AIRPORT BOULEVARD",90000,129000,122000,4750,64000,59000
5030693.19111955,4050040.64431697,5504,3,5,,SAC,,32.734,,"SACRAMENTO, AIRPORT BOULEVARD",90000,129000,122000,4750,64000,59000
5020566.86688405,4051409.24459815,5505,3,5,,SAC,,34.652,,SACRAMENTO/YOLO COUNTY LINE,4750,64000,59000,,,
5020666.81156605,4051308.56107248,5506,3,5,,SAC,,34.652,,SACRAMENTO/YOLO COUNTY LINE,4750,64000,59000,,,
5058037.9740283,3940391.8337594,5507,3,5,,SAC,,8.493,,HOOD FRANKLIN ROAD,4400,66000,63000,6000,70000,66000
5057931.19012114,3940385.12707989,5508,3,5,,SAC,,8.493,,HOOD FRANKLIN ROAD,4400,66000,63000,6000,70000,66000
4971684.62147288,4070587.80696273,5509,3,5,,YOL,R,10.807,,"JCT. RTE. 16, COUNTY ROAD 18",4700,46000,36500,3500,37500,31500
4971626.00708881,4070510.34091032,5510,3,5,,YOL,R,10.807,,"JCT. RTE. 16, COUNTY ROAD 18",4700,46000,36500,3500,37500,31500
4966868.2429823,4076948.81294148,5511,3,5,,YOL,R,12.342,,"YOLO , COUNTY ROAD 17",3500,37500,31500,3150,30000,29000
4966756.30193321,4076956.83097006,5512,3,5,,YOL,R,12.342,,"YOLO , COUNTY ROAD 17",3500,37500,31500,3150,30000,29000
4950610.61637689,4099375.87996389,5513,3,5,,YOL,R,17.616,,"ZAMORA , COUNTY ROAD 13",3150,30000,29000,2200,28500,24300
4950500.25767373,4099382.41177498,5514,3,5,,YOL,R,17.616,,"ZAMORA , COUNTY ROAD 13",3150,30000,29000,2200,28500,24300
4934328.99999006,4120006.35609131,5515,3,5,,YOL,R,22.61,,JCT. RTE. 505 SOUTH,2250,27000,24700,3350,39000,34000
