objectid_1,objectid,statehwy,hov,toll,name2,nm,iyr,ifc,sd,fxnm,txnm,globalid,shape_Length
140,140,1,0,0, ,SR-71,1995,2,0, , ,{EF5EC48B-4CB0-45AD-AB08-F9DF73B8F7D8},14768.814031189682282
141,141,1,0,0, ,I-215,1995,1,0, , ,{2475FCF7-D047-4723-9248-5EBC1310F378},8643.111188370230593
142,142,1,0,0, ,SR-71,1995,2,0, , ,{5014322D-8E80-44AF-B9CA-A76E2B50DB6C},1340.925830070037819
143,143,1,0,0, ,SR-91,1995,1,0, , ,{FB149A2F-B5A2-4EF8-A3B2-3461D46044E4},18953.183406421256223
144,144,1,0,0, ,I-15,1995,1,0, , ,{9932AB71-F408-49E2-B29F-C84E0CF79F61},35962.902646385518892
145,145,0,0,0, ,BASTANCHURY,1995,3,0,MALVERN,EUCLID,{3104AEDB-419A-40FD-A2D5-68394F5C389A},6634.679022323193749
146,146,0,0,0, ,MALVERN,1995,3,0,BASTANCHURY,SR-39,{0DFAAEDC-B77A-4A27-B0D4-F37488D4BC20},13043.833378106553937
147,147,1,0,0, ,SR-91,1995,1,0, , ,{8A446C81-BCA5-44D1-BC28-0D66F486679B},11325.025428588154682
148,148,0,0,0, ,EUCLID,1995,3,0,MALVERN,W BASTANCHURY,{D69C7565-C0A7-4D7F-B965-03143630B596},5184.388021994815062
149,149,0,0,0, ,MALVERN,1995,3,0,EUCLID,W BASTANCHURY,{7E11772A-9BD8-41B4-A51D-CE17421169F2},4866.894473302830193
150,150,1,0,0, ,SR-91,1995,1,0, , ,{705AA719-1B12-40AC-BB07-FB48CA3B5654},17906.051435640663840
151,151,0,0,0, ,VAN BUREN,1995,3,0,I-215,INDIANA,{6FEAE99F-D051-4D45-927E-7D9537F106E2},58947.266604326548986
152,152,1,0,0, ,I-5,1995,1,0, , ,{01EA85C5-BB52-4429-AF27-9174D01CB5C4},536.698451757812222
153,153,0,0,0, ,HARBOR,1995,3,0,CHAPMAN,W VALLEY VIEW,{219E3660-4847-4FA2-9221-CDCD0949D7A2},3345.496770803453273
154,154,0,0,0, ,CHAPMAN,1995,3,0,HARBOR,EUCLID,{9555398B-954A-4E24-908E-6B7AC281346C},5419.130654847193910
155,155,0,0,0, ,STATE COLLEGE,1995,3,0,E CHAPMAN,YORBA LINDA,{2D03C6E3-E24B-43A4-B804-43BBBC8AC7A9},4993.137030387841151
156,156,0,0,0, ,CHAPMAN,1995,3,0,HARBOR,STATE COLLEGE,{CA535492-4D97-4390-A515-48A9F19E505C},10545.292090356444533
157,157,1,0,0, ,SR-57,1995,1,0, , ,{2225ECA0-6969-41E0-AAF7-DAC652E8DDD6},5436.238682244341362
158,158,0,0,0, ,CHAPMAN,1995,3,0,PLACENTIA,STATE COLLEGE,{A66D5047-8908-4C9A-85B8-5CF8F443D9AD},2833.777224325501720
159,159,0,0,0, ,KRAEMER,1995,3,0,E CHAPMAN,YORBA LINDA,{7B89F218-CFB3-4A1C-A555-7EA68E2BE85F},6331.784095043334673
160,160,0,0,0, ,CHAPMAN,1995,3,0,BRADFORD,PLACENTIA,{354A591C-0CCA-41D9-A3F9-11FB016483EA},3100.137327381515661
161,161,1,0,0, ,I-15,1995,1,0, , ,{FAE027F6-2343-4195-BC0F-2DCFAAC5B15F},2826.959676276547725
162,162,0,0,0, ,06TH,1995,3,0,EL SOBRANTE,MAPLE,{B77012ED-C647-475F-9F0A-B8099B20E698},17401.818031525177503
163,163,0,0,0, ,06TH,1995,3,0,EL SIBRANTE,PIERCE,{26502293-DA90-4E6D-A4E1-B7D3695FA738},20516.117647480430605
164,164,0,0,0, ,YORBA LINDA,1995,3,0,LAKEVIEW,SAVI RANCH,{8F44E27F-8919-4A26-8FC3-8A8F16FABEC5},24459.506529899925226
165,165,0,0,0, ,WEIR CANYON,1995,3,0,OLD CANAL,E SANTA ANA CANYON,{6E6AF942-AA39-4ED2-938E-20370B017DAC},255.940785510562051
166,166,0,0,0, ,CHAPMAN,1995,3,0,KRAEMER,E ORANGETHORPE,{FFFF4871-B815-4291-AF9E-758069401ED4},4723.569689128193204
167,167,1,0,0, ,SR-39,1995,2,0, , ,{3DDE9693-573D-4AD7-9060-429BA8878DBD},6912.594851185153857
168,168,1,0,0, ,I-5,1995,1,0, , ,{2E63ADB3-7AE5-4014-9AAC-219AAA459D53},4429.702757692198247
169,169,0,0,0, ,ROSE,1995,3,0,ALTA VISTA,E YORBA LINDA,{7CD88534-82FB-4520-9E99-C3C67DEDB34A},4768.240101001488256
